ISSN1,ISSN2,Sourceid,SJR
1542-4863,0007-9235,28773,145
1057-5987,1545-8601,19434,41.75
1471-0072,1471-0080,20315,37.35
0033-5533,1531-4650,29431,35.99
1474-1784,1474-1776,20425,30.51
1759-4782,1759-4774,17700156734,28.68
1944-7981,0002-8282,22697,25.1
1474-175X,1474-1768,12464,24.38
0022-1082,1540-6261,17500,22.84
1935-8245,1935-8237,19300156903,22.8
0092-8674,1097-4172,18434,22.61
0012-9682,1468-0262,19482,21.09
2058-8437,,21100812243,19.43
0034-6527,1467-937X,24202,19.17
0028-4793,1533-4406,15847,19.08
1569-8041,0923-7534,28711,19.07
1535-6108,1878-3686,29093,19.03
1546-1696,1087-0156,16115,19.01
1723-8617,,6200180159,18.42
1546-170X,1078-8956,15819,18.33
1476-4687,0028-0836,21206,18.29
0034-6861,1539-0756,29719,18.08
2056-676X,,21100780831,18
0304-405X,,24379,17.67
2058-7546,,21100812579,17.6
1474-1741,1474-1733,21318,17.46
1548-7091,1548-7105,21100778827,17.25
0022-3808,1537-534X,24404,17.09
1061-4036,1546-1718,18990,16.59
1465-7368,0893-9454,16161,16.55
1520-6890,0009-2665,23340,16.45
1545-3278,0732-0582,20651,16.43
1471-0056,1471-0064,18991,16.36
1551-8922,1551-8930,58530,15.52
1545-8636,1546-0738,71056,15.33
2662-8449,,21101089342,15.03
1748-3387,1748-3395,5200152704,14.61
1433-8351,2367-3613,28677,14.56
0363-7425,,20206,14.4
1476-4660,1476-1122,17854,14.2
1553-877X,,17900156715,14.18
2520-1158,,21100862548,14.13
1941-6520,1941-6067,19900191906,13.88
1740-1534,1740-1526,20313,13.86
0066-4308,1545-2085,12010,13.79
1945-7707,1945-7715,19900191885,13.53
2662-138X,,21101049051,13.46
2397-3358,,21100826569,13.44
1547-7185,0022-2429,22951,13.39
0022-0515,,27165,12.75
1545-4282,0066-4146,26651,12.74
2327-0608,,21100863710,12.19
2213-8595,2213-8587,21100237403,12.19
1553-4006,1553-4014,11300153736,12.19
0304-4076,1872-6895,28973,12.17
1522-1210,0031-9333,24004,12.17
1097-4180,1074-7613,20798,12.16
2059-3635,2095-9907,21100888816,12.13
0140-6736,1474-547X,16590,12.11
1550-4131,1932-7420,146172,11.99
2662-1347,,21101023100,11.94
1474-4465,1474-4422,16860,11.73
2380-8942,2380-8950,21100466539,11.67
1749-4885,,5700165152,11.55
0306-0012,1460-4744,23350,11.47
2468-1253,,21100786228,11.4
2662-8643,2097-1710,21101151587,11.39
1470-2045,1474-5488,12354,11.32
1527-7755,0732-183X,29949,11.2
1097-6256,1546-1726,17436,11.2
2520-1131,,21100884663,11.08
2542-4351,,21100834904,10.87
2157-1716,2157-1724,21100258425,10.79
1759-5010,1759-5002,17700156509,10.66
1600-0641,0168-8278,25297,10.57
1944-9208,8755-1209,28599,10.55
1754-5692,1754-5706,17500155114,10.53
0001-4273,,20191,10.53
1095-9203,0036-8075,23571,10.42
0001-8392,1930-3815,16036,10.39
1529-2908,1529-2916,21315,10.39
1573-448X,,17700155016,10.23
1756-8722,,17900156736,10.19
1552-7425,1094-4281,22330,10.18
1097-0266,0143-2095,23157,10.18
2157-846X,,21100831443,10.11
1759-5045,1759-5053,17700156208,9.91
2522-5820,,21100972445,9.8
1947-5454,1947-5462,19700188417,9.79
1537-2642,0889-3365,20110,9.76
2097-2431,2667-1417,21101141505,9.73
0149-2195,1545-861X,110092,9.56
1545-4509,0066-4154,16801,9.52
0935-4956,1432-0754,26756,9.46
1471-0048,1471-003X,17437,9.33
1934-5909,1875-9777,6100153018,9.31
1476-4598,,12429,9.26
1945-7189,0163-769X,26038,9.18
0066-2313,,24722,9.14
0001-5962,,24527,9.07
1097-4164,1097-2765,18606,9.05
1558-3597,0735-1097,22401,9.02
1468-3288,0017-5749,28366,8.87
0935-9648,1521-4095,19881,8.85
1748-7838,1001-0602,13900,8.74
0033-2909,1939-1455,13443,8.7
0009-7322,1524-4539,22581,8.67
0149-2063,1557-1211,20635,8.64
0003-486X,,24721,8.63
1945-7790,1945-7782,19900191767,8.6
1873-2208,0079-6425,17899,8.57
0093-5301,1537-5277,22899,8.56
1873-7560,0302-2838,19897,8.53
2468-2667,,21100804406,8.41
1475-679X,0021-8456,29857,8.4
1614-6832,1614-6840,21100199127,8.38
2374-2445,2374-2437,21100420583,8.38
0163-7525,1545-2093,19584,8.29
0895-3309,,28980,8.26
1545-4479,0066-4189,13839,8.26
1545-2123,1543-5008,16721,8.26
1573-692X,1572-3097,16160,8.22
2470-9468,,21100860945,8.22
2666-6758,,21101038708,8.22
2311-6706,2150-5551,21100203115,8.19
1941-1383,1941-1391,19700200701,8.09
1758-6798,1758-678X,21100198409,8.05
0360-1285,,27538,8.03
1526-5455,1047-7039,22324,8.03
1548-5951,1548-5943,4600151524,8.02
2731-6092,,21101272993,7.99
1943-8206,,21100228100,7.98
1556-1380,1556-0864,6400153137,7.95
1945-7731,1945-774X,19900191884,7.94
1759-5037,1759-5029,17700156440,7.88
0304-3932,,17555,7.87
