"PubMed Filters Report","Jan-Mar 2026","Generated 2026-04-25"

"Medline and PrePrints",""
"Total",438249
"MEDLINE",164231
"Exclude Preprints",433504
"Preprint",4745

"Text Availability",""
"Abstract",383045
"Free Full Text",264129
"Full Text",427510

"Associated Data",""
"Associated Data",7880

"Language (only showing English)",""
"English",430430
"English Abstract",5858

"Species",""
"Humans",123545
"Other Animals",45153

"Sex",""
"Male",69967
"Female",70931

"Age",""
"Child: birth-18 years",18025
"Newborn: birth-1 month",2488
"Infant: birth-23 months",3850
"Infant: 1-23 months",1362
"Preschool Child: 2-5 years",5246
"Child: 6-12 years",8651
"Adolescent: 13-18 years",11984
"Adult: 19+ years",55970
"Young Adult: 19-24 years",15435
"Adult: 19-44 years",40446
"Middle Aged + Aged: 45+ years",43225
"Middle Aged: 45-64 years",39782
"Aged: 65+ years",29293
"80 and over: 80+ years",7831

"Article Type (sorted)",""
"Article Type Total (sum, overlaps)",163294
"Review",53786
"Case Reports",16799
"Systematic Review",13500
"Letter",11355
"Clinical Study",9060
"Editorial",8278
"Published Erratum",6544
"Comparative Study",5179
"Clinical Trial",4825
"Controlled Clinical Trial",4035
"Randomized Controlled Trial",4026
"Multicenter Study",3908
"Observational Study",3440
"Meta-Analysis",3385
"Comment",2195
"Research Support, Non-U.S. Gov't",2150
"News",1502
"Validation Study",1337
"Evaluation Study",797
"Clinical Trial Protocol",748
"Books and Documents",676
"Historical Article",668
"Electronic Supplementary Materials",530
"Video-Audio Media",530
"Research Support, U.S. Gov't",475
"Guideline",421
"Practice Guideline",411
"Research Support, N.I.H., Extramural",399
"Clinical Trial, Phase II",363
"Dataset",333
"Clinical Trial, Phase III",265
"Clinical Trial, Phase I",253
"Expression of Concern",238
"Introductory Journal Article",234
"Biography",102
"Interview",77
"Pragmatic Clinical Trial",64
"Clinical Trial, Veterinary",57
"Research Support, U.S. Gov't, Non-P.H.S.",51
"Randomized Controlled Trial, Veterinary",49
"Equivalence Trial",47
"Research Support, N.I.H., Intramural",37
"Twin Study",37
"Clinical Trial, Phase IV",34
"Personal Narrative",25
"Lecture",19
"Retracted Publication",17
"Research Support, U.S. Gov't, P.H.S.",11
"Observational Study, Veterinary",7
"Corrected and Republished Article",4
"Patient Education Handout",3
"Address",3
"Webcast",2
"Adaptive Clinical Trial",1
"Clinical Conference",1
"Periodical Index",1
"Retraction of Publication",0
"Congress",0
"Portrait",0
"Classical Article",0
"Legal Case",0
"Autobiography",0
"Technical Report",0
"Collected Work",0
"Festschrift",0
"Overall",0
"Directory",0
"Duplicate Publication",0
"Research Support, American Recovery and Reinvestment Act",0
"Scientific Integrity Review",0
"Consensus Development Conference",0
"Consensus Development Conference, NIH",0
"Dictionary",0
"Government Publication",0
"Interactive Tutorial",0
"Legislation",0
"Newspaper Article",0
"Bibliography",0
