"Journal Ranking YTD","2026","Jan-May","Generated 2026-06-12"
Rank,ISSN,SJR,Journal Title,Medline %,FreeFull %,ORCID %,Retractions,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,API_Ref
1,2045-2322,0.89,Sci Rep,0.19,0.99,0.11,111,20319,3570,3620,4280,4518,4331,,,,,,,,A3:U3
2,2168-8184,,Cureus,0.00,0.98,0.00,28,9700,2239,1940,2060,1698,1763,,,,,,,,A4:U4
3,1932-6203,0.73,PLoS One,0.90,0.99,0.91,300,7238,1296,1525,1610,1515,1292,,,,,,,,A5:U5
4,2692-8205,,bioRxiv,0.00,0.95,0.85,W3,6402,861,1806,685,1545,1505,,,,,,,,A6:U6
5,2041-1723,4.9,Nat Commun,0.31,0.99,0.99,14,5814,1050,1077,1225,1206,1256,,,,,,,,A7:U7
6,1422-0067,1.32,Int J Mol Sci,0.98,1.00,0.93,25,4653,1128,957,836,422,1310,,,,,,,,A8:U8
7,2077-0383,0.9,J Clin Med,0.00,1.00,0.96,0,3989,915,761,790,342,1181,,,,,,,,A9:U9
8,1664-3224,1.96,Front Immunol,0.92,0.98,0.00,8,3774,584,736,840,720,894,,,,,,,,A10:U10
9,1424-8220,0.8,Sensors (Basel),0.29,1.00,0.87,2,3279,753,649,609,273,995,,,,,,,,A11:U11
10,2296-858X,0.95,Front Med (Lausanne),0.00,0.97,0.00,5,3097,510,558,632,661,736,,,,,,,,A12:U12
11,2470-1343,0.81,ACS Omega,0.00,0.96,0.98,24,2746,697,580,604,413,452,,,,,,,,A13:U13
12,2296-2565,1.1,Front Public Health,0.92,0.97,0.00,1,2737,506,477,535,644,575,,,,,,,,A14:U14
13,1664-1078,0.94,Front Psychol,0.00,0.97,0.00,2,2596,440,426,581,604,545,,,,,,,,A15:U15
14,1879-0003,1.29,Int J Biol Macromol,0.84,0.11,0.00,31,2507,535,458,522,515,477,,,,,,,,A16:U16
15,2234-943X,1.02,Front Oncol,0.00,0.98,0.00,8,2378,384,427,513,460,594,,,,,,,,A17:U17
16,1536-5964,0.53,Medicine (Baltimore),1.00,1.00,0.95,11,2362,601,520,319,222,700,,,,,,,,A18:U18
17,1944-8252,1.61,ACS Appl Mater Interfaces,0.23,0.12,1.00,2,2319,520,424,472,492,411,,,,,,,,A19:U19
18,2198-3844,3.29,Adv Sci (Weinh),0.25,0.37,0.94,6,2244,580,440,435,401,388,,,,,,,,A20:U20
19,1996-1944,0.62,Materials (Basel),0.00,1.00,0.83,3,2177,445,382,448,205,697,,,,,,,,A21:U21
20,1520-5126,5.49,J Am Chem Soc,0.21,0.24,1.00,1,2059,383,419,451,409,397,,,,,,,,A22:U22
21,1091-6490,3.28,Proc Natl Acad Sci U S A,0.70,0.45,0.93,10,2037,387,353,485,416,396,,,,,,,,A23:U23
22,2046-2069,0.86,RSC Adv,0.00,0.98,0.97,12,1980,420,343,420,360,437,,,,,,,,A24:U24
23,1873-7072,1.87,Food Chem,0.75,0.12,0.00,0,1919,399,398,400,336,386,,,,,,,,A25:U25
24,1476-4687,19.71,Nature,0.12,0.14,0.41,13,1878,371,367,378,395,367,,,,,,,,A26:U26
25,1521-3773,5.5,Angew Chem Int Ed Engl,0.08,0.12,0.96,1,1864,305,322,313,395,529,,,,,,,,A27:U27
26,1471-2458,1.36,BMC Public Health,0.16,0.99,0.23,3,1838,339,356,373,390,380,,,,,,,,A28:U28
27,2304-8158,1.06,Foods,0.00,1.00,0.88,0,1830,408,386,319,157,560,,,,,,,,A29:U29
28,1420-3049,0.92,Molecules,0.69,1.00,0.92,19,1775,391,362,308,168,546,,,,,,,,A30:U30
29,2589-0042,1.36,iScience,0.00,1.00,0.00,2,1747,367,319,368,338,355,,,,,,,,A31:U31
30,1613-6829,2.65,Small,0.10,0.09,0.94,0,1743,465,309,280,307,382,,,,,,,,A32:U32
31,2044-6055,0.93,BMJ Open,0.99,0.99,0.99,2,1725,305,357,353,288,422,,,,,,,,A33:U33
32,2072-6694,1.41,Cancers (Basel),0.00,1.00,0.95,7,1673,345,368,330,139,491,,,,,,,,A34:U34
33,1664-462X,1.26,Front Plant Sci,0.00,0.98,0.00,0,1652,207,383,369,327,366,,,,,,,,A35:U35
34,2072-6643,1.5,Nutrients,0.99,1.00,0.97,2,1645,368,342,306,152,477,,,,,,,,A36:U36
35,2223-7747,0.96,Plants (Basel),0.00,1.00,0.89,1,1589,340,330,317,150,452,,,,,,,,A37:U37
36,2075-4418,0.85,Diagnostics (Basel),0.00,0.88,0.97,1,1574,367,277,314,154,462,,,,,,,,A38:U38
37,2076-2615,0.72,Animals (Basel),0.00,0.98,0.93,4,1571,352,342,301,133,443,,,,,,,,A39:U39
38,1873-3336,2.62,J Hazard Mater,0.62,0.13,0.00,3,1570,336,329,268,316,321,,,,,,,,A40:U40
39,1095-8630,1.92,J Environ Manage,0.93,0.21,0.00,4,1559,287,350,374,287,261,,,,,,,,A41:U41
40,1664-302X,1.26,Front Microbiol,0.00,0.97,0.00,3,1545,241,342,320,328,314,,,,,,,,A42:U42
41,1663-9812,1.25,Front Pharmacol,0.00,0.97,0.00,7,1532,278,271,282,335,366,,,,,,,,A43:U43
42,1520-6882,1.36,Anal Chem,0.68,0.16,0.99,0,1438,295,264,306,311,262,,,,,,,,A44:U44
43,2227-9032,0.86,Healthcare (Basel),0.00,1.00,0.96,0,1429,284,269,270,149,457,,,,,,,,A45:U45
44,1521-4095,8.27,Adv Mater,0.12,0.11,0.95,0,1391,326,298,269,230,268,,,,,,,,A46:U46
45,1873-7145,1.67,Food Res Int,0.97,0.13,0.00,1,1352,304,297,245,129,377,,,,,,,,A47:U47
46,2375-2548,4.53,Sci Adv,0.59,1.00,0.98,2,1323,287,223,232,263,318,,,,,,,,A48:U48
47,1364-548X,0.91,Chem Commun (Camb),0.12,0.02,0.99,2,1313,281,243,249,274,266,,,,,,,,A49:U49
48,1664-2392,1.57,Front Endocrinol (Lausanne),0.91,0.98,0.00,4,1298,199,241,291,244,323,,,,,,,,A50:U50
49,2296-861X,1.18,Front Nutr,0.00,0.98,0.00,0,1293,231,264,271,266,261,,,,,,,,A51:U51
50,2073-4360,0.93,Polymers (Basel),0.00,1.00,0.90,0,1266,306,238,235,118,369,,,,,,,,A52:U52
51,1520-5851,3.78,Environ Sci Technol,0.84,0.20,1.00,3,1261,247,269,262,246,237,,,,,,,,A53:U53
52,1079-7114,2.79,Phys Rev Lett,0.01,0.01,0.00,2,1258,294,153,348,228,235,,,,,,,,A54:U54
53,NLM101767986,,medRxiv,0.00,1.00,0.83,W3,1238,151,392,179,194,322,,,,,,,,A55:U55
54,1094-4087,0.84,Opt Express,0.02,1.00,0.00,0,1232,,522,260,,450,,,,,,,,A56:U56
55,1831-4732,1.12,EFSA J,0.00,1.00,0.00,0,1213,39,33,20,400,721,,,,,,,,A57:U57
56,1520-5827,0.76,Langmuir,0.16,0.09,0.99,4,1212,225,228,240,272,247,,,,,,,,A58:U58
57,1664-2295,1.0,Front Neurol,0.00,0.96,0.00,1,1194,235,216,249,253,241,,,,,,,,A59:U59
58,1471-2334,0.98,BMC Infect Dis,0.10,0.99,0.19,3,1192,254,239,212,235,252,,,,,,,,A60:U60
59,1520-5118,1.21,J Agric Food Chem,0.92,0.09,0.99,0,1183,255,224,262,221,221,,,,,,,,A61:U61
60,2574-3805,3.51,JAMA Netw Open,0.62,0.99,0.00,1,1182,219,274,243,237,209,,,,,,,,A62:U62
61,2227-9059,1.17,Biomedicines,0.00,1.00,0.95,3,1176,256,233,247,,440,,,,,,,,A63:U63
62,2076-2607,1.08,Microorganisms,0.00,1.00,0.90,0,1166,261,253,213,,439,,,,,,,,A64:U64
63,1664-0640,1.18,Front Psychiatry,0.00,0.98,0.00,1,1149,183,234,279,186,267,,,,,,,,A65:U65
64,1096-0953,1.84,Environ Res,0.48,0.20,0.00,86,1132,231,198,239,218,246,,,,,,,,A66:U66
65,1472-6831,0.94,BMC Oral Health,0.15,0.99,0.33,0,1120,193,197,214,262,254,,,,,,,,A67:U67
66,1523-7052,1.01,Org Lett,0.10,0.10,0.99,1,1100,242,206,223,227,202,,,,,,,,A68:U68
67,1936-086X,4.1,ACS Nano,0.37,0.18,1.00,4,1093,223,262,212,194,202,,,,,,,,A69:U69
68,1520-510X,0.88,Inorg Chem,0.06,0.14,1.00,0,1090,213,195,236,223,223,,,,,,,,A70:U70
69,1463-9084,0.64,Phys Chem Chem Phys,0.09,0.04,0.98,0,1065,219,202,215,199,230,,,,,,,,A71:U71
70,1471-2229,1.19,BMC Plant Biol,0.16,0.99,0.14,0,1060,201,213,193,209,244,,,,,,,,A72:U72
71,1472-6920,1.07,BMC Med Educ,0.15,0.99,0.34,2,1028,185,212,166,223,242,,,,,,,,A73:U73
72,1756-1833,1.99,BMJ,0.05,0.07,0.08,1,1013,212,200,208,202,191,,,,,,,,A74:U74
73,2297-055X,0.97,Front Cardiovasc Med,0.00,0.98,0.00,0,1013,156,196,246,206,209,,,,,,,,A75:U75
74,2666-0849,0.32,JACC Case Rep,0.00,1.00,0.00,1,1009,168,106,278,206,251,,,,,,,,A76:U76
75,1648-9144,0.74,Medicina (Kaunas),0.99,1.00,0.97,2,1003,234,188,188,,393,,,,,,,,A77:U77
76,2052-4463,1.91,Sci Data,0.34,1.00,0.65,0,1000,172,232,217,206,173,,,,,,,,A78:U78
77,1873-6297,0.92,Acta Psychol (Amst),0.81,1.00,0.00,1,995,212,186,193,192,212,,,,,,,,A79:U79
78,1873-2976,1.98,Bioresour Technol,0.87,0.13,0.00,7,993,189,160,195,191,258,,,,,,,,A80:U80
79,1089-7690,0.88,J Chem Phys,0.06,0.02,1.00,0,968,174,210,196,195,193,,,,,,,,A81:U81
80,2050-7283,1.13,BMC Psychol,0.15,0.99,0.32,3,958,147,179,201,202,229,,,,,,,,A82:U82
81,2073-4409,1.69,Cells,0.93,0.91,0.95,3,955,212,174,185,169,215,,,,,,,,A83:U83
82,2399-3642,1.99,Commun Biol,0.50,0.99,0.99,1,933,193,140,172,196,232,,,,,,,,A84:U84
83,1095-7103,1.64,J Colloid Interface Sci,0.14,0.09,0.00,2,911,192,169,174,191,185,,,,,,,,A85:U85
84,1534-4681,1.02,Ann Surg Oncol,0.13,0.06,0.40,0,908,171,195,215,179,148,,,,,,,,A86:U86
85,2730-6011,0.73,Discov Oncol,0.00,0.51,0.13,1,903,170,174,178,190,191,,,,,,,,A87:U87
86,2050-0904,,Clin Case Rep,0.00,0.95,0.98,1,895,188,169,123,302,113,,,,,,,,A88:U88
87,2045-7758,0.8,Ecol Evol,0.00,0.95,0.96,0,891,192,168,87,306,138,,,,,,,,A89:U89
88,2297-1769,0.75,Front Vet Sci,0.00,0.98,0.00,0,881,145,195,185,168,188,,,,,,,,A90:U90
89,2075-1729,0.87,Life (Basel),0.00,1.00,0.96,1,863,183,181,167,1,331,,,,,,,,A91:U91
90,2693-5015,,Res Sq,0.00,0.95,0.46,0,862,127,319,55,176,185,,,,,,,,A92:U92
91,2041-6520,2.01,Chem Sci,0.00,0.99,0.96,3,862,205,176,165,142,174,,,,,,,,A93:U93
92,1573-2517,2.0,J Affect Disord,0.89,0.36,0.00,0,861,180,207,175,162,137,,,,,,,,A94:U94
93,2040-3372,1.04,Nanoscale,0.12,0.04,0.98,1,857,153,203,145,167,189,,,,,,,,A95:U95
94,1472-6963,1.22,BMC Health Serv Res,0.13,0.99,0.28,0,846,154,153,195,156,188,,,,,,,,A96:U96
95,1530-6992,2.59,Nano Lett,0.15,0.18,1.00,1,835,175,165,157,196,142,,,,,,,,A97:U97
96,2076-328X,0.83,Behav Sci (Basel),0.00,1.00,0.87,0,834,161,150,164,,359,,,,,,,,A98:U98
97,1539-4522,,Appl Opt,0.03,0.00,0.00,0,821,,,696,125,,,,,,,,,A99:U99
98,2079-7737,0.93,Biology (Basel),0.00,0.91,0.89,0,816,206,164,147,145,154,,,,,,,,A100:U100
99,2296-2360,0.73,Front Pediatr,0.00,0.95,0.00,0,816,137,134,150,200,195,,,,,,,,A101:U101
100,1095-9203,10.95,Science,0.43,0.05,0.43,31,808,182,152,149,184,141,,,,,,,,A102:U102
101,2398-8835,0.68,Health Sci Rep,0.00,0.98,0.97,0,805,92,98,108,368,139,,,,,,,,A103:U103
102,1424-8247,1.14,Pharmaceuticals (Basel),0.00,1.00,0.95,3,802,191,151,178,2,280,,,,,,,,A104:U104
103,1879-2448,3.7,Water Res,0.90,0.16,0.00,2,802,157,144,167,163,171,,,,,,,,A105:U105
104,1525-3171,1.09,Poult Sci,0.31,1.00,0.00,0,799,171,166,167,131,164,,,,,,,,A106:U106
105,1471-2318,1.38,BMC Geriatr,0.16,1.00,0.23,1,799,137,176,171,166,149,,,,,,,,A107:U107
106,2167-8359,0.69,PeerJ,1.00,0.97,0.12,2,772,132,187,175,156,122,,,,,,,,A108:U108
107,1879-8365,0.31,Stud Health Technol Inform,1.00,0.00,0.00,1,757,,87,,,670,,,,,,,,A109:U109
108,2218-273X,1.4,Biomolecules,0.98,1.00,0.92,2,756,179,160,143,,274,,,,,,,,A110:U110
109,2235-2988,1.4,Front Cell Infect Microbiol,0.91,0.98,0.00,0,750,147,134,173,142,154,,,,,,,,A111:U111
110,2470-0053,0.68,Phys Rev E,0.09,0.01,0.00,1,749,156,142,139,152,160,,,,,,,,A112:U112
111,1479-5876,2.41,J Transl Med,0.15,0.99,0.69,3,747,143,166,142,133,163,,,,,,,,A113:U113
112,1471-2407,1.17,BMC Cancer,0.10,1.00,0.17,11,736,143,140,133,163,157,,,,,,,,A114:U114
113,1873-6424,2.02,Environ Pollut,0.88,0.25,0.00,4,726,105,130,132,159,200,,,,,,,,A115:U115
114,1872-7573,1.28,J Ethnopharmacol,0.84,0.16,0.00,1,724,139,142,144,147,152,,,,,,,,A116:U116
115,1090-2414,1.51,Ecotoxicol Environ Saf,0.91,1.00,0.00,7,724,208,149,130,103,134,,,,,,,,A117:U117
116,1471-2393,1.07,BMC Pregnancy Childbirth,0.12,0.99,0.26,3,723,104,152,133,141,193,,,,,,,,A118:U118
117,1948-7185,1.24,J Phys Chem Lett,0.09,0.18,1.00,0,723,156,135,159,148,125,,,,,,,,A119:U119
118,2227-9067,0.75,Children (Basel),0.00,1.00,0.94,0,714,160,150,129,,275,,,,,,,,A120:U120
119,1520-6904,0.6,J Org Chem,0.10,0.14,0.99,0,711,167,135,136,146,127,,,,,,,,A121:U121
120,1878-1705,1.35,Int Immunopharmacol,0.90,0.15,0.00,12,708,142,134,116,143,173,,,,,,,,A122:U122
121,1539-4794,0.85,Opt Lett,0.02,0.00,0.00,2,697,143,139,83,171,161,,,,,,,,A123:U123
122,1520-4804,1.73,J Med Chem,0.78,0.17,0.99,4,696,144,142,143,137,130,,,,,,,,A124:U124
123,1879-3363,1.47,Mar Pollut Bull,0.32,0.30,0.00,1,695,145,121,170,136,123,,,,,,,,A125:U125
124,1660-4601,0.93,Int J Environ Res Public Health,0.99,1.00,0.96,3,686,139,135,135,2,275,,,,,,,,A126:U126
125,1940-087X,0.41,J Vis Exp,1.00,0.01,0.00,1,684,119,97,167,164,137,,,,,,,,A127:U127
126,1538-3598,5.84,JAMA,0.06,0.04,0.00,0,682,135,116,141,146,144,,,,,,,,A128:U128
127,0973-2063,,Bioinformation,0.00,1.00,0.00,0,680,,171,156,107,246,,,,,,,,A129:U129
128,1873-3573,0.98,Talanta,0.55,0.18,0.00,1,673,142,110,129,152,140,,,,,,,,A130:U130
129,1940-6029,0.42,Methods Mol Biol,0.97,0.00,0.14,0,668,160,78,26,151,253,,,,,,,,A131:U131
130,1757-790X,0.2,BMJ Case Rep,0.91,0.08,0.82,0,664,173,125,92,160,114,,,,,,,,A132:U132
131,1362-4962,8.11,Nucleic Acids Res,0.88,0.98,0.93,5,660,196,107,117,111,129,,,,,,,,A133:U133
132,1477-9234,0.58,Dalton Trans,0.12,0.03,0.98,0,653,144,135,126,129,119,,,,,,,,A134:U134
133,2076-3921,1.71,Antioxidants (Basel),0.00,1.00,0.94,0,652,149,124,132,,247,,,,,,,,A135:U135
134,1536-3732,0.39,J Craniofac Surg,0.08,0.00,0.51,0,648,137,66,166,103,176,,,,,,,,A136:U136
135,2079-4991,0.81,Nanomaterials (Basel),0.00,0.92,0.88,4,640,150,132,105,110,143,,,,,,,,A137:U137
136,1467-3045,0.9,Curr Issues Mol Biol,0.00,0.86,0.88,0,639,223,114,100,91,111,,,,,,,,A138:U138
137,2165-0497,1.21,Microbiol Spectr,0.52,0.98,1.00,2,637,94,123,171,129,120,,,,,,,,A139:U139
138,2072-666X,0.58,Micromachines (Basel),0.00,1.00,0.86,1,635,144,131,114,,246,,,,,,,,A140:U140
139,1873-3557,,Spectrochim Acta A Mol Biomol Spectrosc,0.61,0.08,0.00,1,634,115,99,137,147,136,,,,,,,,A141:U141
140,1999-4923,1.2,Pharmaceutics,0.00,1.00,0.94,0,632,142,137,118,,235,,,,,,,,A142:U142
141,1477-3155,2.52,J Nanobiotechnology,0.45,0.99,0.06,3,629,88,132,121,159,129,,,,,,,,A143:U143
142,2211-1247,3.81,Cell Rep,0.54,1.00,0.00,4,624,140,108,149,124,103,,,,,,,,A144:U144
143,2590-0064,1.89,Mater Today Bio,0.00,1.00,0.00,0,621,137,181,99,102,102,,,,,,,,A145:U145
144,1573-4978,0.74,Mol Biol Rep,0.52,0.12,0.35,10,621,95,107,122,135,162,,,,,,,,A146:U146
145,1097-6787,1.34,J Am Acad Dermatol,0.02,0.15,0.00,2,614,84,147,125,101,157,,,,,,,,A147:U147
146,1950-6007,2.07,Biomed Pharmacother,0.45,1.00,0.00,122,607,132,104,112,122,137,,,,,,,,A148:U148
147,2694-5746,,Stroke Vasc Interv Neurol,0.00,1.00,0.88,1,602,538,,33,,31,,,,,,,,A149:U149
148,2590-1575,1.6,Food Chem X,0.00,0.99,0.00,1,601,130,151,89,105,126,,,,,,,,A150:U150
149,1573-2959,0.83,Environ Monit Assess,0.98,0.19,0.30,1,599,124,71,126,142,136,,,,,,,,A151:U151
150,2073-4425,0.82,Genes (Basel),1.00,1.00,0.90,0,595,118,132,109,,236,,,,,,,,A152:U152
151,1471-2431,0.73,BMC Pediatr,0.13,0.99,0.27,0,595,108,75,146,146,120,,,,,,,,A153:U153
152,2306-5354,0.81,Bioengineering (Basel),0.00,1.00,0.96,0,591,126,129,117,,219,,,,,,,,A154:U154
153,1618-095X,2.09,Phytomedicine,0.76,0.17,0.00,1,591,110,147,97,122,115,,,,,,,,A155:U155
154,2049-0801,,Ann Med Surg (Lond),0.00,1.00,0.86,1,585,256,196,33,40,60,,,,,,,,A156:U156
155,1999-4915,1.11,Viruses,0.98,0.86,0.95,2,585,149,124,125,84,103,,,,,,,,A157:U157
156,1879-2782,1.55,Neural Netw,0.33,0.10,0.00,0,584,106,107,116,128,127,,,,,,,,A158:U158
157,1099-4300,0.48,Entropy (Basel),0.00,0.77,0.89,0,578,131,120,112,,215,,,,,,,,A159:U159
158,1090-2104,0.72,Biochem Biophys Res Commun,0.91,0.20,0.00,14,577,87,125,107,128,130,,,,,,,,A160:U160
159,2296-875X,0.57,Front Surg,0.00,0.98,0.00,1,576,99,95,136,127,119,,,,,,,,A161:U161
160,1533-4406,18.4,N Engl J Med,0.12,0.04,0.37,4,575,100,93,152,132,98,,,,,,,,A162:U162
161,1612-1880,0.45,Chem Biodivers,0.98,0.16,0.87,1,574,116,97,122,122,117,,,,,,,,A163:U163
162,1471-2180,1.14,BMC Microbiol,0.20,0.99,0.14,2,574,132,93,132,103,114,,,,,,,,A164:U164
163,1432-1912,0.88,Naunyn Schmiedebergs Arch Pharmacol,0.09,0.03,0.24,24,573,108,105,112,113,135,,,,,,,,A165:U165
164,1664-042X,1.07,Front Physiol,0.00,0.98,0.00,1,571,95,97,117,112,150,,,,,,,,A166:U166
165,1879-1026,2.04,Sci Total Environ,0.50,0.46,0.00,15,569,178,110,119,86,76,,,,,,,,A167:U167
166,1438-8871,2.11,J Med Internet Res,0.88,0.99,0.91,1,568,105,75,117,131,140,,,,,,,,A168:U168
167,1474-547X,14.82,Lancet,0.15,0.07,0.00,0,566,105,99,117,92,153,,,,,,,,A169:U169
168,2076-0817,0.97,Pathogens,0.99,1.00,0.97,0,558,124,115,104,,215,,,,,,,,A170:U170
169,1471-2474,0.85,BMC Musculoskelet Disord,0.17,0.99,0.22,1,558,99,104,108,116,131,,,,,,,,A171:U171
170,1530-6860,1.26,FASEB J,0.95,0.31,0.89,5,555,105,107,106,121,116,,,,,,,,A172:U172
171,1471-2261,0.8,BMC Cardiovasc Disord,0.11,0.99,0.19,1,551,91,94,126,118,122,,,,,,,,A173:U173
172,1090-2120,0.75,Bioorg Chem,0.87,0.08,0.00,0,550,112,106,113,103,116,,,,,,,,A174:U174
173,2041-4889,3.29,Cell Death Dis,0.53,0.99,0.95,25,549,82,85,143,135,104,,,,,,,,A175:U175
174,2047-9980,2.03,J Am Heart Assoc,0.88,0.99,0.98,0,549,79,118,132,108,112,,,,,,,,A176:U176
175,2296-634X,1.56,Front Cell Dev Biol,0.00,0.98,0.00,2,549,97,85,139,107,121,,,,,,,,A177:U177
176,1471-2164,0.99,BMC Genomics,0.18,1.00,0.10,1,548,134,111,105,86,112,,,,,,,,A178:U178
177,1472-6955,1.37,BMC Nurs,0.00,0.99,0.37,0,546,99,120,113,105,109,,,,,,,,A179:U179
178,2076-3425,0.92,Brain Sci,0.00,0.84,0.93,2,545,119,130,95,89,112,,,,,,,,A180:U180
179,1614-7499,0.91,Environ Sci Pollut Res Int,0.77,0.23,0.82,72,545,127,87,152,85,94,,,,,,,,A181:U181
180,2072-1439,0.61,J Thorac Dis,0.00,1.00,0.49,1,537,80,50,130,86,191,,,,,,,,A182:U182
181,1433-7339,1.03,Support Care Cancer,0.90,0.44,0.40,1,535,92,109,133,91,110,,,,,,,,A183:U183
182,1521-3765,0.8,Chemistry,0.07,0.08,0.81,0,534,93,90,102,121,128,,,,,,,,A184:U184
183,2075-4450,0.76,Insects,0.00,0.83,0.90,0,533,128,103,121,90,91,,,,,,,,A185:U185
184,1879-1344,2.01,Carbohydr Polym,0.64,0.13,0.00,16,532,68,110,90,149,115,,,,,,,,A186:U186
185,1662-4548,1.07,Front Neurosci,0.00,0.96,0.00,4,532,87,109,111,123,102,,,,,,,,A187:U187
186,2398-6352,4.22,NPJ Digit Med,0.00,0.99,0.07,1,529,107,87,102,105,128,,,,,,,,A188:U188
187,2079-6382,1.28,Antibiotics (Basel),0.00,0.60,0.95,1,524,111,122,91,97,103,,,,,,,,A189:U189
188,2192-2659,2.19,Adv Healthc Mater,0.33,0.07,0.94,5,518,132,122,107,74,83,,,,,,,,A190:U190
189,2055-2076,0.99,Digit Health,0.00,0.99,0.99,2,509,80,85,154,86,104,,,,,,,,A191:U191
190,2837-8156,0.56,PLOS Ment Health,0.00,1.00,0.97,0,508,2,435,22,26,23,,,,,,,,A192:U192
191,1873-4324,0.93,Anal Chim Acta,0.78,0.14,0.00,1,505,134,71,104,78,118,,,,,,,,A193:U193
192,2296-4185,1.02,Front Bioeng Biotechnol,0.00,0.98,0.00,1,505,107,103,89,105,101,,,,,,,,A194:U194
193,2306-7381,0.65,Vet Sci,0.00,1.00,0.94,0,503,111,98,98,,196,,,,,,,,A195:U195
194,1083-351X,1.64,J Biol Chem,0.43,1.00,0.00,26,502,101,109,77,102,113,,,,,,,,A196:U196
195,2352-3409,0.61,Data Brief,0.00,1.00,0.00,1,497,95,144,95,99,64,,,,,,,,A197:U197
196,1929-0748,0.53,JMIR Res Protoc,0.96,0.99,0.99,0,497,114,84,113,101,85,,,,,,,,A198:U198
197,1471-244X,1.42,BMC Psychiatry,0.13,1.00,0.21,1,490,123,74,94,84,115,,,,,,,,A199:U199
198,1463-1326,2.27,Diabetes Obes Metab,0.42,0.28,0.98,1,488,104,86,108,94,96,,,,,,,,A200:U200
199,1525-3198,1.2,J Dairy Sci,0.29,1.00,0.00,1,483,68,105,123,82,105,,,,,,,,A201:U201
200,0929-6646,0.7,J Formos Med Assoc,0.00,1.00,0.00,0,482,61,39,115,137,130,,,,,,,,A202:U202
201,1549-960X,1.43,J Chem Inf Model,0.85,0.31,1.00,1,477,96,84,93,104,100,,,,,,,,A203:U203
202,1873-2518,1.19,Vaccine,0.65,0.55,0.00,1,476,92,93,104,86,101,,,,,,,,A204:U204
203,1590-3478,0.78,Neurol Sci,0.38,0.18,0.95,0,476,150,96,85,72,73,,,,,,,,A205:U205
204,2767-3375,0.99,PLOS Glob Public Health,0.00,0.99,0.95,0,475,90,101,93,106,85,,,,,,,,A206:U206
205,2210-2612,0.27,Int J Surg Case Rep,0.00,1.00,0.75,0,475,65,,217,94,99,,,,,,,,A207:U207
206,1526-4998,0.81,Pest Manag Sci,0.27,0.04,0.96,1,473,110,91,73,94,105,,,,,,,,A208:U208
