UI,Name,Count,DateRange,PriorYearCount,PriorYearDateRange
D000001,Calcimycin,8,2025/01/01-2025/12/31,16,2024/01/01-2024/12/31
D000002,Temefos,9,2025/01/01-2025/12/31,10,2024/01/01-2024/12/31
D000003,Abattoirs,222,2025/01/01-2025/12/31,193,2024/01/01-2024/12/31
D000004,Abbreviations as Topic,6,2025/01/01-2025/12/31,13,2024/01/01-2024/12/31
D000005,Abdomen,1707,2025/01/01-2025/12/31,1916,2024/01/01-2024/12/31
D000006,"Abdomen, Acute",61,2025/01/01-2025/12/31,85,2024/01/01-2024/12/31
D000007,Abdominal Injuries,235,2025/01/01-2025/12/31,325,2024/01/01-2024/12/31
D000008,Abdominal Neoplasms,900,2025/01/01-2025/12/31,964,2024/01/01-2024/12/31
D000009,Abdominal Muscles,760,2025/01/01-2025/12/31,806,2024/01/01-2024/12/31
D000010,Abducens Nerve,2,2025/01/01-2025/12/31,11,2024/01/01-2024/12/31
D000011,Abelson murine leukemia virus,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000012,Abetalipoproteinemia,1,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000013,Congenital Abnormalities,15493,2025/01/01-2025/12/31,17727,2024/01/01-2024/12/31
D000014,"Abnormalities, Drug-Induced",88,2025/01/01-2025/12/31,91,2024/01/01-2024/12/31
D000015,"Abnormalities, Multiple",2643,2025/01/01-2025/12/31,3021,2024/01/01-2024/12/31
D000016,"Abnormalities, Radiation-Induced",5,2025/01/01-2025/12/31,3,2024/01/01-2024/12/31
D000017,ABO Blood-Group System,263,2025/01/01-2025/12/31,256,2024/01/01-2024/12/31
D000018,Abomasum,22,2025/01/01-2025/12/31,29,2024/01/01-2024/12/31
D000019,Abortifacient Agents,123,2025/01/01-2025/12/31,152,2024/01/01-2024/12/31
D000020,"Abortifacient Agents, Nonsteroidal",77,2025/01/01-2025/12/31,98,2024/01/01-2024/12/31
D000021,"Abortifacient Agents, Steroidal",31,2025/01/01-2025/12/31,35,2024/01/01-2024/12/31
D000022,"Abortion, Spontaneous",1027,2025/01/01-2025/12/31,1138,2024/01/01-2024/12/31
D000023,Abortion Applicants,9,2025/01/01-2025/12/31,13,2024/01/01-2024/12/31
D000024,"Abortion, Illegal",6,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000025,"Abortion, Eugenic",3,2025/01/01-2025/12/31,2,2024/01/01-2024/12/31
D000026,"Abortion, Habitual",422,2025/01/01-2025/12/31,363,2024/01/01-2024/12/31
D000027,"Abortion, Incomplete",12,2025/01/01-2025/12/31,7,2024/01/01-2024/12/31
D000028,"Abortion, Induced",756,2025/01/01-2025/12/31,907,2024/01/01-2024/12/31
D000029,"Abortion, Legal",116,2025/01/01-2025/12/31,168,2024/01/01-2024/12/31
D000030,"Abortion, Missed",16,2025/01/01-2025/12/31,19,2024/01/01-2024/12/31
D000031,"Abortion, Septic",2,2025/01/01-2025/12/31,2,2024/01/01-2024/12/31
D000032,"Abortion, Therapeutic",2,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
