"PubMed Summary Report","2020-2026","Generated 2026-09-05"

"","2020","2021","2022","2023","2024","2025","Aug YTD"
"# Articles - [crdt] create date",1459161,1558238,1589406,1551642,1562102,1710568,1192959
"medline [sb]",1037037,1048716,1013676,943638,953775,958883,532453
"indexingmethod_automated",286938,571385,873221,824991,708193,781497,436763
"inprocess [sb]",49,128,181,3400,44731,144095,92300
"publisher [sb]",7461,7459,11348,15363,15595,32735,177691
"pubmednotmedline [sb]",414614,501935,564201,589241,547978,574780,390515
"all [sb]",1459161,1558238,1589406,1551642,1562102,1710568,1192959
"Preprints",1524,1387,842,13944,16385,19274,13880
"Corrections (erratum notices)",17959,19899,19197,19308,21647,25016,17893
"Retractions",752,2682,2888,5980,5609,6312,6550
"hasabstract (has abstract)",1271976,1369097,1396877,1350675,1393001,1533963,1064941
""Full Text"[sb] (full text links)",1426883,1529195,1565073,1527188,1538663,1682050,1166023
""free full text"[sb] (free links)",834691,983603,1077650,1026345,1016991,1130388,758658
"Free Full Text (percent)",0.5720,0.6312,0.6780,0.6615,0.6510,0.6608,0.6359
"orcid [auid] popular author ID",561673,694141,744472,698877,718722,809309,568011
"PubMed % medline",0.7107,0.6730,0.6378,0.6082,0.6106,0.5606,0.4463
"PubMed Central (PMC) Totals",791504,911552,1039116,963829,911028,1054245,776877
"pmc[sb] (PMC in PubMed)",711687,851300,950982,884449,864561,983567,637380
"percent of PubMed from PMC",0.4877,0.5463,0.5983,0.5700,0.5535,0.5750,0.5343
"pubmed pmc[sb] medline[sb]",403659,441409,459788,393770,402484,456810,261403
"PMC & medline % in PubMed",0.2766,0.2833,0.2893,0.2538,0.2577,0.2671,0.2191
"systematic [sb] (sys reviews)",34781,41021,43671,43258,46349,55241,38457
"Clinical Trials *",39089,40415,37204,36188,38470,42427,25214
"Cancer",233385,244287,244538,237992,243637,262320,173509
"AIDS (Custom query)",20217,20266,19730,19149,19956,21674,13960
"Complement Med (Custom)",18510,20390,20584,23979,24090,28023,19132
"Light Therapy (custom)",5548,5277,4561,4605,6001,6805,3831
"Veterinary OR Zoo",39659,42681,42688,39521,41985,47322,32769
"Etiology/Broad [filter]",475934,508613,505522,491814,519354,591919,413982
"Diagnosis/Broad [filter]",302379,314052,306213,298626,318701,364183,256484
"Therapy/Broad [filter]",230842,230454,234248,226005,241519,272975,178789
"Prognosis/Broad [filter]",238028,253293,245211,238759,258318,300984,219579
"Clinical Prediction Guides/Broad[filter]",380027,417904,425011,416474,449619,522317,390885
"systematic [sb] (sys reviews)",0.0238,0.0263,0.0275,0.0279,0.0297,0.0323,0.0322
"Clinical Trials *",0.0268,0.0259,0.0234,0.0233,0.0246,0.0248,0.0211
"Cancer",0.1599,0.1568,0.1539,0.1534,0.1560,0.1534,0.1454
"AIDS (Custom query)",0.0139,0.0130,0.0124,0.0123,0.0128,0.0127,0.0117
"Complement Med (Custom)",0.0127,0.0131,0.0130,0.0155,0.0154,0.0164,0.0160
"Light Therapy (custom)",0.0038,0.0034,0.0029,0.0030,0.0038,0.0040,0.0032
"Etiology/Broad [filter]",0.3262,0.3264,0.3181,0.3170,0.3325,0.3460,0.3470
"Diagnosis/Broad [filter]",0.2072,0.2015,0.1927,0.1925,0.2040,0.2129,0.2150
"Therapy/Broad [filter]",0.1582,0.1479,0.1474,0.1457,0.1546,0.1596,0.1499
"Prognosis/Broad [filter]",0.1631,0.1626,0.1543,0.1539,0.1654,0.1760,0.1841
"Clinical Prediction Guides/Broad[filter]",0.2604,0.2682,0.2674,0.2684,0.2878,0.3053,0.3277
